日期時間,自動氣象站,相對濕度（百分比）,日期時間_temperature,氣溫（攝氏）,日期時間_pressure,平均海平面氣壓（百帕斯卡）,日期時間_wind,十分鐘平均風向（方位點）,十分鐘平均風速（公里/小時）,十分鐘最高陣風風速（公里/小時）,﻿日期時間,十分鐘平均能見度
,荃灣可觀,,2024-10-17 14:10:00,28.3,,,,,,,,
,荃灣城門谷,,2024-10-17 14:10:00,28.6,,,,,,,,
,西灣河,,,,,,,,,,2024-10-17 14:10:00,23 公里
2024-10-17 14:10:00,西貢,77.0,2024-10-17 14:10:00,28.0,,,2024-10-17 14:10:00,東,14.0,22.0,,
,觀塘,,2024-10-17 14:10:00,27.0,,,,,,,,
,赤柱,,2024-10-17 14:10:00,27.8,,,2024-10-17 14:10:00,東南,15.0,23.0,,
2024-10-17 14:10:00,赤鱲角,63.0,2024-10-17 14:10:00,30.0,2024-10-17 14:10:00,1012.4,2024-10-17 14:10:00,東,19.0,27.0,2024-10-17 14:10:00,35 公里
,跑馬地,,2024-10-17 14:10:00,28.8,,,,,,,,
2024-10-17 14:10:00,長洲,79.0,2024-10-17 14:10:00,28.3,2024-10-17 14:10:00,1012.8,2024-10-17 14:10:00,東,22.0,30.0,,
,長洲泳灘,,,,,,2024-10-17 14:10:00,東,22.0,27.0,,
,青洲,,,,,,2024-10-17 14:10:00,東北,28.0,33.0,,
2024-10-17 14:10:00,青衣,65.0,2024-10-17 14:10:00,29.6,,,2024-10-17 14:10:00,東南,11.0,21.0,,
2024-10-17 14:10:00,香港公園,76.0,2024-10-17 14:10:00,27.8,,,,,,,,
,香港航海學校,,,,,,2024-10-17 14:10:00,東,21.0,28.0,,
,黃大仙,,2024-10-17 14:10:00,,,,,,,,,
2024-10-17 14:10:00,黃竹坑,72.0,2024-10-17 14:10:00,29.3,,,2024-10-17 14:10:00,東北,11.0,24.0,,
